,title,link,Image_url,location,price,years,km
0,Toyota Corolla Altis 2019款 1.8L,https://auto.8891.com.tw/usedauto-infos-3757004.html?display__sale_code=3010013&flow_id=89671e94-4354-4886-bafe-a1a557c815ac,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,27萬,2018年,1.31萬km
1,M-Benz CLA200 2014款 1.6L,https://auto.8891.com.tw/usedauto-infos-3817094.html?display__sale_code=3010013&flow_id=78cdb18c-0ad7-4e03-8763-6eb142590718,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,49.8萬,2018年,7萬km
2,BMW 420i 2015款 2.0L,https://auto.8891.com.tw/usedauto-infos-3794178.html?display__sale_code=3010013&flow_id=0c859f8f-bcce-45d8-8808-d8b97eb15db1,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,-,2018年,5.6萬km
3,M-Benz CLA200 2014款 1.6L,https://auto.8891.com.tw/usedauto-infos-3809508.html?display__sale_code=3010013&flow_id=6d42b8fa-16d0-491a-b76a-aaf1e4cb6cd5,https://img.8891.com.tw/v3/nopic-200-166.png,新北市,49.8萬,2018年,8.2萬km
4,BMW 328i 2013款 2.0L,https://auto.8891.com.tw/usedauto-infos-3770596.html?display__sale_code=3010013&flow_id=2578c199-442f-457c-b897-5620801c2571,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,-,2018年,6.1萬km
5,Ford Focus 5D 2017款 1.6L,https://auto.8891.com.tw/usedauto-infos-3814009.html?display__sale_code=3010013&flow_id=783fa972-26c2-4401-a2f8-978d6b22799b,https://img.8891.com.tw/v3/nopic-200-166.png,新北市,27.8萬,2018年,7.88萬km
6,Ford Focus 2016款 1.6L,https://auto.8891.com.tw/usedauto-infos-3770880.html?display__sale_code=3010013&flow_id=e730db1d-cf81-4dbf-bc1f-29a189066aad,https://img.8891.com.tw/v3/nopic-200-166.png,新北市,11.3萬,2018年,5.8萬km
7,M-Benz C300 AMG 2015款 2.0L,https://auto.8891.com.tw/usedauto-infos-3813746.html?display__sale_code=3010013&flow_id=311b76d9-0252-4221-ae41-f55c5ec971cb,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,55.8萬,2018年,3.6萬km
8,Mazda 3 2015款 2.0L,https://auto.8891.com.tw/usedauto-infos-3787532.html?display__sale_code=3010013&flow_id=9c882704-aa03-491d-a41d-24264889b727,https://img.8891.com.tw/v3/nopic-200-166.png,新北市,19.8萬,2018年,8.6萬km
9,Volkswagen Golf 2018款 1.4L,https://auto.8891.com.tw/usedauto-infos-3809306.html?display__sale_code=3010013&flow_id=a26d72f0-eb49-440c-b6ec-3d0ae7355b7f,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,35萬,2018年,4.2萬km
10,Volkswagen Golf 2019款 1.4L,https://auto.8891.com.tw/usedauto-infos-3809238.html?display__sale_code=3010013&flow_id=86137fc9-6062-4b9a-8d32-cec5342e0414,https://img.8891.com.tw/v3/nopic-200-166.png,桃園市,40.8萬,2018年,3萬km
