18,23,24,25,39,42,48
6,7,8,20,47,48,30
4,19,21,28,39,43,18
13,20,22,31,34,42,9
12,20,30,38,40,41,10
4,5,10,30,39,45,14
2,20,36,37,42,46,29
3,10,14,15,20,45,2
14,20,24,30,44,48,31
10,17,20,21,32,41,34
2,7,22,35,46,49,41
12,24,28,36,37,40,6
6,8,24,32,34,36,49
13,18,30,34,45,49,33
17,23,28,29,32,39,12
7,21,29,33,40,41,8
8,13,14,32,36,42,5
6,8,18,19,20,30,22
5,8,14,19,22,47,24
11,16,19,29,30,45,1
1,3,40,44,46,48,2
1,3,4,24,32,43,37
6,20,22,43,45,48,11
6,17,22,34,38,42,20
1,8,14,27,40,45,34
12,13,16,21,42,43,39
3,11,15,25,31,48,36
5,7,22,37,40,45,12
5,10,12,20,28,36,15
7,16,17,36,47,48,49
1,12,16,37,41,47,36
6,13,14,19,24,38,26
1,3,12,16,29,49,4
5,28,38,40,41,47,25
11,28,29,38,41,49,22
10,36,37,44,45,46,48
