,Title,Link
0,立院龍頭戰,https://tw.nextapple.com/collection/topic/立院龍頭戰
1,總統開票,https://tw.nextapple.com/collection/topic/總統開票
2,立委開票,https://tw.nextapple.com/collection/topic/立委開票
3,侯友宜選前之夜,https://tw.nextapple.com/collection/topic/侯友宜選前之夜
4,柯文哲選前之夜,https://tw.nextapple.com/collection/topic/柯文哲選前之夜
